Date: 2017/04/13 14:11:27.608 | Message: [16459396] | Index taks was started.
Date: 2017/04/13 14:11:27.617 | Message: [16459396] | Import task status will be changed from Failed to InProgress
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 02125289 | Price: 792 | Keywords: 2201160 2282 ?????? ?? ??????? ?? ????i?????? ?i?i????? ?????? ??i???? ???  ??? 3 ?i? 11.06.16?. ???.2-52 ?i? 16.03.16?. ???-132,00.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 31115684 | Price: 1584 | Keywords: 3507030/02 2240 ???. ?? ?i?????i? ??i???? ??? ??. ????2-176 ?i? 28,03,16?. ????3 ?i? 10,06,16?. ? ?.?.???-264,00
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 05417228 | Price: 792 | Keywords: 6541030 2281 ????? ??  ????i?????? ?i?.?????? ??i???? ??? ?? ???. 2-158 ?i? 25.02.16?. ?? ????? ? 3 ?i? 13.06.16?. ? ?.?.???-132,00
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 26125035 | Price: 1584 | Keywords: 070501 2240 ?????? ?? ????i?.?i?.?????? ??i?.???  ??????? 2016?. ??? 3 ?i? 15.06.2016?. ???.2-167 ?i? 25.02.2016?. ? ?.?.???-264,00
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 37393782 | Price: 510 | Keywords: 2501200 2730  ?i???. ????.???. ?????. ?????i??? ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?????.??.????.???. ?796/12, ?/? 164 ?i? 08.06.16. ??? ???.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 37393782 | Price: 53194 | Keywords: 2501200 2730  ?i???. ????.???. ?????. ?????i??? ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?????.??.????.???. ?796/12, ?/? 130 ?i? 12.05.16. ??? ???.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 03922125 | Price: 792 | Keywords: 1801190  2240  ????i?????? ?i?. ?????? ??i???? ???  ???. ?2-04 ?i? 06.05.16 ?., ????3 ?i? 22.06.16 ?.  ??? - 132,00.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 22869098 | Price: 11187 | Keywords: 2507030   2282-1118,70???.   ?i???.?? ??????.? ?????????? i??. ??.???.?54/15?i?10.05.2015?.   ??? ?55 ?i? 24.06.2016?.   ??? ???
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 22869098 | Price: 6644 | Keywords: 2507030   2282-6644,00???.   ?i???.?? ???????? i??. ??.???.?54/15?i?10.05.2015?.   ??? ?55 ?i?24.06.2016?.   ??? ???
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 39908375 | Price: 792 | Keywords: 6641010  2610  ??????? ???.????? ???.??? ? 2??.2016 ??.???.? 2-60 ??? 23.03.2016,???? 2 ??? 01.07.2016  ? ?.?. ??? - 132,00 ???.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 00019413 | Price: 4350 | Keywords: 2201080  2730  ?????? ??? ?? ?????? - 3 ???., ????????? ??????i? ?i? 01.06.2016?. ?2, ????????? ??? ?i? 27.08.08 ?757
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 34477817 | Price: 2376 | Keywords: * 34477817 2240 ?? ?i?.????i? ??i???? ??? ??.???? ?3 ?i? 26.07.16?. ???.?2-230 ?i? 14.03.16?. ? ?.?.???-396,00
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 37393782 | Price: 205815 | Keywords: 2501200 2730  ?i???. ????.???. ?????. ?????i??? ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?????.??.????.???. ?796/12, ?/? 71,70 ?i? 18.07.16. ??? ???.
